"","domain_name","sequence_evalue"
"310","HISEQ01:561:D1DRUACXX:7:1107:12204:5608_1",1.2e-16
"311","HISEQ01:561:D1DRUACXX:7:1102:1583:107665_1",1.2e-16
"312","HISEQ01:561:D1DRUACXX:7:1106:4688:27784_1",1.2e-16
"313","HISEQ01:561:D1DRUACXX:7:1204:20540:172957_1",1.2e-16
"314","HISEQ01:561:D1DRUACXX:7:1105:18790:30041_1",1.2e-16
"315","HISEQ01:561:D1DRUACXX:7:1106:11069:145405_1",1.2e-16
"316","HISEQ01:561:D1DRUACXX:7:1105:18278:14454_1",1.3e-16
"317","HISEQ01:561:D1DRUACXX:7:1107:15654:52242_1",1.3e-16
"318","HISEQ01:561:D1DRUACXX:7:1107:16739:71480_1",1.3e-16
"319","HISEQ01:561:D1DRUACXX:7:1206:14547:154275_1",1.3e-16
"320","HISEQ01:561:D1DRUACXX:7:1202:21045:135218_1",1.4e-16
"321","HISEQ01:561:D1DRUACXX:7:1102:1556:80412_1",1.4e-16
"322","HISEQ01:561:D1DRUACXX:7:1106:14932:114196_1",1.4e-16
"323","HISEQ01:561:D1DRUACXX:7:1202:15935:142468_1",1.4e-16
"324","HISEQ01:561:D1DRUACXX:7:1102:16037:38852_1",1.5e-16
"325","HISEQ01:561:D1DRUACXX:7:1105:9942:158336_1",1.5e-16
"326","HISEQ01:561:D1DRUACXX:7:1206:13065:63293_1",1.5e-16
"327","HISEQ01:561:D1DRUACXX:7:1206:9450:62113_1",1.5e-16
"328","HISEQ01:561:D1DRUACXX:7:1104:4513:10825_1",1.6e-16
"329","HISEQ01:561:D1DRUACXX:7:1108:7459:170344_1",1.6e-16
"330","HISEQ01:561:D1DRUACXX:7:1105:5148:191622_1",1.6e-16
"331","HISEQ01:561:D1DRUACXX:7:1101:6485:47845_1",1.6e-16
"332","HISEQ01:561:D1DRUACXX:7:1101:16024:157559_1",1.6e-16
"333","HISEQ01:561:D1DRUACXX:7:1102:18462:5522_1",1.6e-16
"334","HISEQ01:561:D1DRUACXX:7:1204:10852:168686_1",1.6e-16
"335","HISEQ01:561:D1DRUACXX:7:1201:19682:102415_1",1.7e-16
