"","domain_name","sequence_evalue"
"330","HISEQ01:561:D1DRUACXX:7:1202:13134:121840_1",6.7e-09
"331","HISEQ01:561:D1DRUACXX:7:1105:4633:160678_1",6.8e-09
"332","HISEQ01:561:D1DRUACXX:7:1206:12253:164785_1",6.8e-09
"333","HISEQ01:561:D1DRUACXX:7:1206:10342:13224_1",6.9e-09
"334","HISEQ01:561:D1DRUACXX:7:1102:2077:154646_1",7e-09
"335","HISEQ01:561:D1DRUACXX:7:1102:6408:105046_1",7e-09
"336","HISEQ01:561:D1DRUACXX:7:1103:15621:15553_1",7e-09
"337","HISEQ01:561:D1DRUACXX:7:1202:11885:133850_1",7.1e-09
"338","HISEQ01:561:D1DRUACXX:7:1105:5957:99091_1",7.2e-09
"339","HISEQ01:561:D1DRUACXX:7:1102:14002:173720_1",7.3e-09
"340","HISEQ01:561:D1DRUACXX:7:1102:5733:23133_1",7.6e-09
