"","domain_name","sequence_evalue"
"283","NS500302:312:HJHHTBGX5:1:23207:8272:1699_1:221323",5.7e-16
"284","NS500302:312:HJHHTBGX5:2:12205:13719:16273_1:299977",5.7e-16
"285","NS500302:312:HJHHTBGX5:2:12305:1601:12260_1:313424",5.7e-16
"286","NS500302:312:HJHHTBGX5:2:22302:15888:20225_1:432192",5.7e-16
"287","NS500302:312:HJHHTBGX5:3:12503:26353:2782_1:534076",5.7e-16
"288","NS500302:312:HJHHTBGX5:4:13404:18179:9322_1:783480",5.7e-16
"289","NS500302:312:HJHHTBGX5:4:13502:10942:2614_1:794554",5.7e-16
"290","NS500302:312:HJHHTBGX5:1:11203:9647:18615_1:17015",6.3e-16
"291","NS500302:312:HJHHTBGX5:1:21210:25640:12224_1:145060",6.7e-16
"292","NS500302:312:HJHHTBGX5:1:23111:4946:4933_1:212527",6.7e-16
"293","NS500302:312:HJHHTBGX5:1:23204:8405:11706_1:218562",6.7e-16
"294","NS500302:312:HJHHTBGX5:2:11208:12202:1131_1:262651",6.7e-16
"295","NS500302:312:HJHHTBGX5:2:13106:20591:7730_1:327809",6.7e-16
"296","NS500302:312:HJHHTBGX5:2:23103:9120:6038_1:445742",6.7e-16
"297","NS500302:312:HJHHTBGX5:2:23111:19775:12029_1:455027",6.7e-16
"298","NS500302:312:HJHHTBGX5:2:23210:16961:12634_1:467384",6.7e-16
"299","NS500302:312:HJHHTBGX5:3:11402:25372:3657_1:485061",6.7e-16
"300","NS500302:312:HJHHTBGX5:3:12408:21913:1462_1:527115",6.7e-16
"301","NS500302:312:HJHHTBGX5:3:13603:4579:15889_1:583411",6.7e-16
"302","NS500302:312:HJHHTBGX5:3:23407:24349:6418_1:672393",6.7e-16
"303","NS500302:312:HJHHTBGX5:3:23506:3775:11325_1:683657",6.7e-16
"304","NS500302:312:HJHHTBGX5:4:12411:22198:18491_1:753161",6.7e-16
"305","NS500302:312:HJHHTBGX5:4:12509:4878:13827_1:763726",6.7e-16
"306","NS500302:312:HJHHTBGX5:4:12604:18012:4258_1:770622",6.7e-16
"307","NS500302:312:HJHHTBGX5:4:12607:20186:1422_1:773482",6.7e-16
"308","NS500302:312:HJHHTBGX5:4:13508:25198:4867_1:800886",6.7e-16
"309","NS500302:312:HJHHTBGX5:4:21605:10726:17865_1:849772",6.7e-16
"310","NS500302:312:HJHHTBGX5:4:21608:5640:17646_1:852725",6.7e-16
"311","NS500302:312:HJHHTBGX5:4:22404:6604:1889_1:860374",6.7e-16
"312","NS500302:312:HJHHTBGX5:1:11110:7481:18273_1:11327",6.8e-16
"313","NS500302:312:HJHHTBGX5:1:21112:14382:2394_1:133044",6.8e-16
"314","NS500302:312:HJHHTBGX5:1:23101:24111:18938_1:202049",6.8e-16
"315","NS500302:312:HJHHTBGX5:2:11305:23202:6342_1:273091",6.8e-16
"316","NS500302:312:HJHHTBGX5:2:12103:21425:11076_1:284535",6.8e-16
